BLCA	 FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1.00 	0.84 	0.74 	0.09 	-0.11 	0.02 	0.00 	0.33 	0.29 	0.04 	0.02 	-0.06 	-0.01 	-0.08 	-0.03 
KDR	0.84 	1.00 	0.79 	0.16 	-0.05 	-0.05 	0.02 	0.45 	0.42 	0.03 	0.07 	0.02 	-0.04 	-0.04 	0.04 
FLT4	0.74 	0.79 	1.00 	0.16 	-0.07 	-0.10 	0.10 	0.44 	0.44 	-0.01 	0.07 	0.03 	-0.01 	-0.03 	0.04 
FGFR1	0.09 	0.16 	0.16 	1.00 	0.04 	-0.10 	0.12 	0.14 	0.22 	0.10 	0.04 	0.02 	0.02 	0.04 	0.05 
FGFR2	-0.11 	-0.05 	-0.07 	0.04 	1.00 	0.08 	-0.01 	0.00 	0.01 	-0.01 	0.02 	-0.11 	-0.12 	-0.13 	-0.13 
FGFR3	0.02 	-0.05 	-0.10 	-0.10 	0.08 	1.00 	-0.06 	-0.16 	-0.23 	0.02 	-0.08 	-0.17 	-0.18 	-0.19 	-0.22 
FGFR4	0.00 	0.02 	0.10 	0.12 	-0.01 	-0.06 	1.00 	-0.02 	-0.06 	0.07 	0.00 	-0.06 	-0.06 	-0.06 	-0.08 
PDGFRA	0.33 	0.45 	0.44 	0.14 	0.00 	-0.16 	-0.02 	1.00 	0.58 	-0.01 	0.14 	0.07 	0.00 	0.05 	0.12 
PDGFRB	0.29 	0.42 	0.44 	0.22 	0.01 	-0.23 	-0.06 	0.58 	1.00 	-0.02 	0.07 	0.14 	0.07 	0.17 	0.23 
KIT	0.04 	0.03 	-0.01 	0.10 	-0.01 	0.02 	0.07 	-0.01 	-0.02 	1.00 	0.05 	-0.10 	-0.05 	-0.10 	-0.13 
RET	0.02 	0.07 	0.07 	0.04 	0.02 	-0.08 	0.00 	0.14 	0.07 	0.05 	1.00 	0.05 	-0.01 	0.05 	0.06 
PDCD1	-0.06 	0.02 	0.03 	0.02 	-0.11 	-0.17 	-0.06 	0.07 	0.14 	-0.10 	0.05 	1.00 	0.31 	0.73 	0.72 
CD274	-0.01 	-0.04 	-0.01 	0.02 	-0.12 	-0.18 	-0.06 	0.00 	0.07 	-0.05 	-0.01 	0.31 	1.00 	0.47 	0.42 
LAG3	-0.08 	-0.04 	-0.03 	0.04 	-0.13 	-0.19 	-0.06 	0.05 	0.17 	-0.10 	0.05 	0.73 	0.47 	1.00 	0.77 
CTLA4	-0.03 	0.04 	0.04 	0.05 	-0.13 	-0.22 	-0.08 	0.12 	0.23 	-0.13 	0.06 	0.72 	0.42 	0.77 	1.00 
