 BRCA	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1	0.8	0.45	0.051	0.014	0.019	0.036	0.21	0.49	0.062	0.016	-0.11	0.078	-0.1	-0.043
KDR	0.80 	1	0.59	0.051	-0.018	0.051	0.021	0.23	0.55	0.12	0.019	-0.055	0.05	-0.1	-0.0048
FLT4	0.45	0.59	1	0.011	-6.00E-04	0.084	0.011	0.19	0.5	0.16	-0.0042	0.028	-0.052	-0.093	-0.00051
FGFR1	0.051	0.051	0.011	1	-0.03	0.14	0.03	0.0077	0.087	-0.016	0.13	-0.08	-0.059	-0.069	-0.082
FGFR2	0.014	-0.018	-6.00E-04	-0.03	1	-0.023	-0.021	0.0059	-0.0064	0.021	0.024	-0.028	-0.021	-0.015	0.013
FGFR3	0.019	0.051	0.084	0.14	-0.023	1	0.035	-0.069	-0.034	-0.084	0.15	-0.098	-0.093	-0.11	-0.12
FGFR4	0.036	0.021	0.011	0.03	-0.021	0.035	1	-0.015	-0.0085	-0.052	0.044	0.019	-0.02	-0.014	0.013
PDGFRA	0.21	0.23	0.19	0.0077	0.0059	-0.069	-0.015	1	0.36	0.19	-0.1	0.0026	0.046	-0.05	0.066
PDGFRB	0.49	0.55	0.5	0.087	-0.0064	-0.034	-0.0085	0.36	1	0.024	-0.049	-0.1	-0.02	-0.17	-0.042
KIT	0.062	0.12	0.16	-0.016	0.021	-0.084	-0.052	0.19	0.024	1	-0.12	0.0071	0.0092	-0.023	0.034
RET	0.016	0.019	-0.0042	0.13	0.024	0.15	0.044	-0.1	-0.049	-0.12	1	-0.11	-0.082	-0.095	-0.15
PDCD1	-0.11	-0.055	0.028	-0.08	-0.028	-0.098	0.019	0.0026	-0.1	0.0071	-0.11	1	0.54	0.69	0.79
CD274	0.078	0.05	-0.052	-0.059	-0.021	-0.093	-0.02	0.046	-0.02	0.0092	-0.082	0.54	1	0.66	0.5
LAG3	-0.1	-0.1	-0.093	-0.069	-0.015	-0.11	-0.014	-0.05	-0.17	-0.023	-0.095	0.69	0.66	1	0.62
CTLA4	-0.043	-0.0048	-0.00051	-0.082	0.013	-0.12	0.013	0.066	-0.042	0.034	-0.15	0.79	0.5	0.62	1
