CESC	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1.0000 	0.6000 	0.5500 	0.2400 	0.0260 	0.0062 	0.0730 	0.2500 	0.5000 	0.1300 	0.1800 	0.0640 	0.0110 	-0.0490 	-0.0089 
KDR	0.6000 	1.0000 	0.5900 	0.2600 	0.1200 	0.0060 	0.0460 	0.2900 	0.5100 	0.2100 	0.0690 	0.0340 	-0.0300 	-0.0570 	-0.0052 
FLT4	0.5500 	0.5900 	1.0000 	0.2900 	0.1000 	-0.0096 	0.0320 	0.3200 	0.5100 	0.2200 	0.1200 	0.0240 	-0.0730 	-0.0820 	-0.0380 
FGFR1	0.2400 	0.2600 	0.2900 	1.0000 	0.3300 	-0.1000 	-0.0042 	0.3300 	0.2900 	0.2200 	0.1400 	-0.0320 	-0.1200 	-0.1100 	-0.0880 
FGFR2	0.0260 	0.1200 	0.1000 	0.3300 	1.0000 	0.0045 	0.0200 	0.2500 	0.1100 	0.1800 	0.0510 	-0.1500 	-0.0085 	-0.1800 	-0.1500 
FGFR3	0.0062 	0.0060 	-0.0096 	-0.1000 	0.0045 	1.0000 	-0.0720 	-0.0230 	-0.0380 	-0.0260 	-0.0520 	0.0084 	0.0690 	-0.0058 	0.0420 
FGFR4	0.0730 	0.0460 	0.0320 	-0.0042 	0.0200 	-0.0720 	1.0000 	-0.0350 	-0.0100 	0.0095 	0.0240 	-0.0940 	-0.0930 	-0.0730 	-0.1500 
PDGFRA	0.2500 	0.2900 	0.3200 	0.3300 	0.2500 	-0.0230 	-0.0350 	1.0000 	0.7400 	0.0930 	0.1800 	-0.0065 	-0.0500 	-0.0740 	0.0230 
PDGFRB	0.5000 	0.5100 	0.5100 	0.2900 	0.1100 	-0.0380 	-0.0100 	0.7400 	1.0000 	0.1200 	0.0980 	-0.0390 	-0.0680 	-0.0720 	-0.0023 
KIT	0.1300 	0.2100 	0.2200 	0.2200 	0.1800 	-0.0260 	0.0095 	0.0930 	0.1200 	1.0000 	0.0930 	-0.0550 	-0.0300 	-0.1000 	-0.0670 
RET	0.1800 	0.0690 	0.1200 	0.1400 	0.0510 	-0.0520 	0.0240 	0.1800 	0.0980 	0.0930 	1.0000 	-0.0063 	-0.0250 	-0.0110 	0.0510 
PDCD1	0.0640 	0.0340 	0.0240 	-0.0320 	-0.1500 	0.0084 	-0.0940 	-0.0065 	-0.0390 	-0.0550 	-0.0063 	1.0000 	0.1800 	0.6800 	0.7000 
CD274	0.0110 	-0.0300 	-0.0730 	-0.1200 	-0.0085 	0.0690 	-0.0930 	-0.0500 	-0.0680 	-0.0300 	-0.0250 	0.1800 	1.0000 	0.1700 	0.2400 
LAG3	-0.0490 	-0.0570 	-0.0820 	-0.1100 	-0.1800 	-0.0058 	-0.0730 	-0.0740 	-0.0720 	-0.1000 	-0.0110 	0.6800 	0.1700 	1.0000 	0.6800 
CTLA4	-0.0089 	-0.0052 	-0.0380 	-0.0880 	-0.1500 	0.0420 	-0.1500 	0.0230 	-0.0023 	-0.0670 	0.0510 	0.7000 	0.2400 	0.6800 	1.0000 
