CHOL	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1.00 	0.85 	0.68 	0.35 	-0.06 	-0.04 	-0.28 	0.25 	0.45 	0.01 	0.01 	0.03 	0.30 	-0.01 	-0.17 
KDR	0.85 	1.00 	0.69 	0.25 	-0.11 	0.01 	-0.25 	0.20 	0.51 	-0.01 	0.01 	0.05 	0.17 	-0.06 	-0.10 
FLT4	0.68 	0.69 	1.00 	-0.02 	-0.23 	-0.09 	-0.38 	0.21 	0.46 	-0.02 	0.04 	0.19 	0.71 	0.48 	0.10 
FGFR1	0.35 	0.25 	-0.02 	1.00 	0.29 	0.38 	0.08 	0.14 	0.01 	-0.20 	-0.32 	0.15 	-0.03 	0.04 	-0.06 
FGFR2	-0.06 	-0.11 	-0.23 	0.29 	1.00 	0.52 	0.46 	0.19 	-0.15 	-0.27 	-0.24 	0.01 	-0.17 	-0.26 	-0.21 
FGFR3	-0.04 	0.01 	-0.09 	0.38 	0.52 	1.00 	0.50 	0.19 	0.17 	-0.23 	-0.29 	0.03 	-0.26 	-0.20 	-0.21 
FGFR4	-0.28 	-0.25 	-0.38 	0.08 	0.46 	0.50 	1.00 	0.09 	-0.07 	-0.35 	-0.16 	0.00 	-0.34 	-0.32 	-0.36 
PDGFRA	0.25 	0.20 	0.21 	0.14 	0.19 	0.19 	0.09 	1.00 	0.54 	0.08 	0.11 	0.38 	-0.04 	-0.10 	-0.06 
PDGFRB	0.45 	0.51 	0.46 	0.01 	-0.15 	0.17 	-0.07 	0.54 	1.00 	-0.03 	-0.12 	-0.02 	0.04 	-0.10 	-0.10 
KIT	0.01 	-0.01 	-0.02 	-0.20 	-0.27 	-0.23 	-0.35 	0.08 	-0.03 	1.00 	0.62 	-0.06 	-0.04 	-0.10 	-0.04 
RET	0.01 	0.01 	0.04 	-0.32 	-0.24 	-0.29 	-0.16 	0.11 	-0.12 	0.62 	1.00 	0.01 	-0.02 	-0.12 	-0.07 
PDCD1	0.03 	0.05 	0.19 	0.15 	0.01 	0.03 	0.00 	0.38 	-0.02 	-0.06 	0.01 	1.00 	0.20 	0.35 	0.34 
CD274	0.30 	0.17 	0.71 	-0.03 	-0.17 	-0.26 	-0.34 	-0.04 	0.04 	-0.04 	-0.02 	0.20 	1.00 	0.80 	0.07 
LAG3	-0.01 	-0.06 	0.48 	0.04 	-0.26 	-0.20 	-0.32 	-0.10 	-0.10 	-0.10 	-0.12 	0.35 	0.80 	1.00 	0.50 
CTLA4	-0.17 	-0.10 	0.10 	-0.06 	-0.21 	-0.21 	-0.36 	-0.06 	-0.10 	-0.04 	-0.07 	0.34 	0.07 	0.50 	1.00 
