 COAD	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1	0.78	0.77	0.65	0.13	-0.033	-0.097	0.66	0.72	0.35	0.031	0.23	0.2	0.098	0.38
KDR	0.78	1	0.89	0.7	0.14	-0.047	-0.14	0.85	0.79	0.4	0.039	0.25	0.18	0.1	0.43
FLT4	0.77	0.89	1	0.81	0.16	-0.058	-0.11	0.81	0.82	0.44	0.061	0.35	0.21	0.16	0.47
FGFR1	0.65	0.7	0.81	1	0.22	-0.081	-0.16	0.72	0.81	0.44	0.1	0.36	0.2	0.17	0.5
FGFR2	0.13	0.14	0.16	0.22	1	-0.033	-0.18	0.17	0.12	0.11	0.061	0.11	0.023	0.14	0.059
FGFR3	-0.033	-0.047	-0.058	-0.081	-0.033	1	0.39	-0.068	-0.16	0.044	0.16	-0.096	-0.18	-0.062	-0.079
FGFR4	-0.097	-0.14	-0.11	-0.16	-0.18	0.39	1	-0.19	-0.19	-0.16	-0.1	-0.15	-0.14	-0.16	-0.15
PDGFRA	0.66	0.85	0.81	0.72	0.17	-0.068	-0.19	1	0.81	0.41	0.035	0.2	0.15	0.042	0.39
PDGFRB	0.72	0.79	0.82	0.81	0.12	-0.16	-0.19	0.81	1	0.35	0.024	0.28	0.26	0.084	0.43
KIT	0.35	0.4	0.44	0.44	0.11	0.044	-0.16	0.41	0.35	1	0.022	0.23	0.037	0.042	0.33
RET	0.031	0.039	0.061	0.1	0.061	0.16	-0.1	0.035	0.024	0.022	1	0.012	0.025	0.24	0.0084
PDCD1	0.23	0.25	0.35	0.36	0.11	-0.096	-0.15	0.2	0.28	0.23	0.012	1	0.51	0.54	0.73
CD274	0.2	0.18	0.21	0.2	0.023	-0.18	-0.14	0.15	0.26	0.037	0.025	0.51	1	0.42	0.47
LAG3	0.098	0.1	0.16	0.17	0.14	-0.062	-0.16	0.042	0.084	0.042	0.24	0.54	0.42	1	0.44
CTLA4	0.38	0.43	0.47	0.5	0.059	-0.079	-0.15	0.39	0.43	0.33	0.0084	0.73	0.47	0.44	1
