 ESCA	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1	0.8	0.73	-0.011	-0.016	-0.2	0.17	0.38	0.51	0.29	0.03	0.16	0.0083	0.035	0.26
KDR	0.8	1	0.7	-0.025	0.08	-0.23	0.19	0.41	0.5	0.22	-0.035	0.13	-0.069	-0.0094	0.21
FLT4	0.73	0.7	1	0.053	-0.063	-0.2	0.048	0.37	0.52	0.41	-0.072	0.24	-0.049	0.081	0.3
FGFR1	-0.011	-0.025	0.053	1	0.21	-0.085	-0.12	0.5	0.047	0.21	0.017	-0.037	-0.064	-0.0077	0.092
FGFR2	-0.016	0.08	-0.063	0.21	1	0.17	-0.0064	0.14	-0.0067	0.057	-0.05	-0.12	0.1	-0.09	-0.03
FGFR3	-0.2	-0.23	-0.2	-0.085	0.17	1	-0.25	-0.21	-0.14	-0.1	-0.035	-0.066	0.062	0.0081	-0.059
FGFR4	0.17	0.19	0.048	-0.12	-0.0064	-0.25	1	0.15	-0.062	-0.084	0.025	-0.022	-0.17	-0.1	0.02
PDGFRA	0.38	0.41	0.37	0.5	0.14	-0.21	0.15	1	0.54	0.31	-0.0027	0.13	-0.1	-0.0042	0.29
PDGFRB	0.51	0.5	0.52	0.047	-0.0067	-0.14	-0.062	0.54	1	0.28	0.057	0.2	0.027	0.11	0.34
KIT	0.29	0.22	0.41	0.21	0.057	-0.1	-0.084	0.31	0.28	1	0.16	0.03	-0.05	-0.039	0.12
RET	0.03	-0.035	-0.072	0.017	-0.05	-0.035	0.025	-0.0027	0.057	0.16	1	-0.037	-0.0037	-0.009	-0.014
PDCD1	0.16	0.13	0.24	-0.037	-0.12	-0.066	-0.022	0.13	0.2	0.03	-0.037	1	0.26	0.8	0.75
CD274	0.0083	-0.069	-0.049	-0.064	0.1	0.062	-0.17	-0.1	0.027	-0.05	-0.0037	0.26	1	0.35	0.27
LAG3	0.035	-0.0094	0.081	-0.0077	-0.09	0.0081	-0.1	-0.0042	0.11	-0.039	-0.009	0.8	0.35	1	0.62
CTLA4	0.26	0.21	0.3	0.092	-0.03	-0.059	0.02	0.29	0.34	0.12	-0.014	0.75	0.27	0.62	1
