GBM	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1	0.75	0.34	0.23	0.12	0.072	0.071	0.11	0.54	0.088	0.1	0.077	0.19	-0.05	0.04
KDR	0.75	1	0.33	0.3	-0.053	0.086	-0.034	0.15	0.63	0.089	0.11	0.13	0.15	-0.032	0.25
FLT4	0.34	0.33	1	0.028	-0.02	0.16	0.029	0.067	0.25	0.064	0.061	-0.035	0.0075	-0.042	0.025
FGFR1	0.23	0.3	0.028	1	-0.14	-0.012	0.047	0.098	0.49	-0.036	0.0081	0.12	0.13	0.17	0.45
FGFR2	0.12	-0.053	-0.02	-0.14	1	-0.064	-0.073	0.14	-0.033	0.013	-0.064	-0.00051	-0.19	0.05	-0.076
FGFR3	0.072	0.086	0.16	-0.012	-0.064	1	0.062	-0.046	-0.015	0.028	-0.018	-0.097	0.14	-0.055	-0.029
FGFR4	0.071	-0.034	0.029	0.047	-0.073	0.062	1	0.03	-0.022	0.26	0.011	0.059	-0.093	0.22	0.0054
PDGFRA	0.11	0.15	0.067	0.098	0.14	-0.046	0.03	1	0.13	0.26	0.061	0.0006	-0.061	0.073	-0.0027
PDGFRB	0.54	0.63	0.25	0.49	-0.033	-0.015	-0.022	0.13	1	0.005	0.059	0.23	0.15	0.033	0.55
KIT	0.088	0.089	0.064	-0.036	0.013	0.028	0.26	0.26	0.005	1	0.035	0.082	-0.059	0.31	-0.033
RET	0.1	0.11	0.061	0.0081	-0.064	-0.018	0.011	0.061	0.059	0.035	1	0.011	0.12	0.042	-0.03
PDCD1	0.077	0.13	-0.035	0.12	-0.00051	-0.097	0.059	0.0006	0.23	0.082	0.011	1	0.11	0.31	0.28
CD274	0.19	0.15	0.0075	0.13	-0.19	0.14	-0.093	-0.061	0.15	-0.059	0.12	0.11	1	0.021	-0.04
LAG3	-0.05	-0.032	-0.042	0.17	0.05	-0.055	0.22	0.073	0.033	0.31	0.042	0.31	0.021	1	0.027
CTLA4	0.04	0.25	0.025	0.45	-0.076	-0.029	0.0054	-0.0027	0.55	-0.033	-0.03	0.28	-0.04	0.027	1
