HNSC	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1.00 	0.77 	0.57 	0.31 	0.27 	0.04 	0.03 	0.54 	0.64 	0.29 	0.10 	0.03 	0.02 	-0.06 	0.13 
KDR	0.77 	1.00 	0.76 	0.26 	0.19 	0.00 	-0.05 	0.58 	0.68 	0.37 	0.07 	0.11 	0.02 	0.02 	0.19 
FLT4	0.57 	0.76 	1.00 	0.27 	0.01 	0.00 	-0.02 	0.49 	0.65 	0.25 	0.13 	0.11 	0.04 	0.05 	0.19 
FGFR1	0.31 	0.26 	0.27 	1.00 	0.24 	-0.14 	0.06 	0.43 	0.44 	0.20 	0.17 	0.07 	-0.06 	-0.02 	0.31 
FGFR2	0.27 	0.19 	0.01 	0.24 	1.00 	0.19 	0.09 	0.28 	0.13 	0.16 	-0.07 	-0.02 	-0.04 	-0.12 	0.00 
FGFR3	0.04 	0.00 	0.00 	-0.14 	0.19 	1.00 	-0.04 	-0.05 	-0.10 	0.07 	-0.05 	0.02 	-0.06 	-0.14 	-0.04 
FGFR4	0.03 	-0.05 	-0.02 	0.06 	0.09 	-0.04 	1.00 	0.01 	-0.01 	-0.09 	0.16 	-0.13 	-0.10 	-0.09 	-0.11 
PDGFRA	0.54 	0.58 	0.49 	0.43 	0.28 	-0.05 	0.01 	1.00 	0.67 	0.30 	0.02 	0.06 	-0.01 	-0.01 	0.12 
PDGFRB	0.64 	0.68 	0.65 	0.44 	0.13 	-0.10 	-0.01 	0.67 	1.00 	0.25 	0.07 	0.00 	0.00 	-0.03 	0.12 
KIT	0.29 	0.37 	0.25 	0.20 	0.16 	0.07 	-0.09 	0.30 	0.25 	1.00 	0.22 	0.21 	-0.02 	0.05 	0.22 
RET	0.10 	0.07 	0.13 	0.17 	-0.07 	-0.05 	0.16 	0.02 	0.07 	0.22 	1.00 	0.04 	0.02 	0.01 	0.15 
PDCD1	0.03 	0.11 	0.11 	0.07 	-0.02 	0.02 	-0.13 	0.06 	0.00 	0.21 	0.04 	1.00 	0.31 	0.31 	0.64 
CD274	0.02 	0.02 	0.04 	-0.06 	-0.04 	-0.06 	-0.10 	-0.01 	0.00 	-0.02 	0.02 	0.31 	1.00 	0.32 	0.23 
LAG3	-0.06 	0.02 	0.05 	-0.02 	-0.12 	-0.14 	-0.09 	-0.01 	-0.03 	0.05 	0.01 	0.31 	0.32 	1.00 	0.51 
CTLA4	0.13 	0.19 	0.19 	0.31 	0.00 	-0.04 	-0.11 	0.12 	0.12 	0.22 	0.15 	0.64 	0.23 	0.51 	1.00 
