KIRC	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1.00 	0.97 	0.68 	0.03 	0.13 	0.24 	-0.16 	0.09 	0.69 	0.06 	0.09 	0.06 	0.06 	0.05 	0.08 
KDR	0.97 	1.00 	0.69 	-0.01 	0.12 	0.24 	-0.16 	0.07 	0.64 	0.12 	0.12 	0.05 	0.10 	0.04 	0.07 
FLT4	0.68 	0.69 	1.00 	0.25 	0.16 	0.17 	-0.01 	0.11 	0.56 	0.07 	0.12 	0.09 	0.12 	0.06 	0.12 
FGFR1	0.03 	-0.01 	0.25 	1.00 	0.32 	-0.04 	0.04 	0.14 	0.17 	0.05 	0.09 	-0.03 	0.07 	-0.07 	-0.06 
FGFR2	0.13 	0.12 	0.16 	0.32 	1.00 	0.02 	-0.07 	0.05 	0.10 	0.02 	0.10 	-0.05 	0.11 	-0.05 	-0.04 
FGFR3	0.24 	0.24 	0.17 	-0.04 	0.02 	1.00 	-0.01 	0.01 	0.12 	-0.04 	-0.03 	-0.02 	-0.08 	-0.02 	-0.05 
FGFR4	-0.16 	-0.16 	-0.01 	0.04 	-0.07 	-0.01 	1.00 	-0.05 	-0.03 	-0.15 	-0.15 	-0.02 	-0.08 	0.00 	-0.08 
PDGFRA	0.09 	0.07 	0.11 	0.14 	0.05 	0.01 	-0.05 	1.00 	0.51 	0.13 	0.09 	0.00 	-0.02 	-0.02 	0.06 
PDGFRB	0.69 	0.64 	0.56 	0.17 	0.10 	0.12 	-0.03 	0.51 	1.00 	0.01 	0.13 	0.04 	0.01 	0.01 	0.10 
KIT	0.06 	0.12 	0.07 	0.05 	0.02 	-0.04 	-0.15 	0.13 	0.01 	1.00 	0.04 	-0.03 	0.13 	-0.02 	-0.02 
RET	0.09 	0.12 	0.12 	0.09 	0.10 	-0.03 	-0.15 	0.09 	0.13 	0.04 	1.00 	0.00 	0.24 	-0.02 	0.03 
PDCD1	0.06 	0.05 	0.09 	-0.03 	-0.05 	-0.02 	-0.02 	0.00 	0.04 	-0.03 	0.00 	1.00 	0.07 	0.92 	0.88 
CD274	0.06 	0.10 	0.12 	0.07 	0.11 	-0.08 	-0.08 	-0.02 	0.01 	0.13 	0.24 	0.07 	1.00 	0.02 	0.05 
LAG3	0.05 	0.04 	0.06 	-0.07 	-0.05 	-0.02 	0.00 	-0.02 	0.01 	-0.02 	-0.02 	0.92 	0.02 	1.00 	0.82 
CTLA4	0.08 	0.07 	0.12 	-0.06 	-0.04 	-0.05 	-0.08 	0.06 	0.10 	-0.02 	0.03 	0.88 	0.05 	0.82 	1.00 
