KIRP	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1.00 	0.97 	0.68 	0.03 	0.13 	0.24 	-0.16 	0.09 	0.69 	0.06 	0.09 	0.06 	0.06 	0.05 	0.08
KDR	0.97	1.00 	0.69 	-0.01 	0.12 	0.24 	-0.16 	0.07 	0.64 	0.12 	0.12 	0.05 	0.10 	0.04 	0.065
FLT4	0.68	0.69	1.00 	0.25 	0.16 	0.17 	-0.01 	0.11 	0.56 	0.07 	0.12 	0.09 	0.12 	0.06 	0.12
FGFR1	0.028	-0.0053	0.25	1.00 	0.32 	-0.04 	0.04 	0.14 	0.17 	0.05 	0.09 	-0.03 	0.07 	-0.07 	-0.06
FGFR2	0.13	0.12	0.16	0.32	1.00 	0.02 	-0.07 	0.05 	0.10 	0.02 	0.10 	-0.05 	0.11 	-0.05 	-0.05
FGFR3	0.24	0.24	0.17	-0.042	0.019	1.00 	-0.01 	0.01 	0.12 	-0.04 	-0.03 	-0.02 	-0.08 	-0.02 	-0.053
FGFR4	-0.16	-0.16	-0.007	0.037	-0.067	-0.0078	1.00 	-0.05 	-0.03 	-0.15 	-0.15 	-0.02 	-0.08 	0.00 	-0.082
PDGFRA	0.089	0.074	0.11	0.14	0.05	0.011	-0.045	1.00 	0.51 	0.13 	0.09 	0.00 	-0.02 	-0.02 	0.057
PDGFRB	0.69	0.64	0.56	0.17	0.1	0.12	-0.028	0.51	1.00 	0.01 	0.13 	0.04 	0.01 	0.01 	0.1
KIT	0.063	0.12	0.071	0.045	0.024	-0.04	-0.15	0.13	0.013	1.00 	0.04 	-0.03 	0.13 	-0.02 	-0.023
RET	0.087	0.12	0.12	0.086	0.099	-0.027	-0.15	0.092	0.13	0.042	1.00 	0.00 	0.24 	-0.02 	0.033
PDCD1	0.057	0.046	0.091	-0.034	-0.054	-0.024	-0.015	0.0037	0.035	-0.027	0.0011	1.00 	0.07 	0.92 	0.88
CD274	0.057	0.1	0.12	0.067	0.11	-0.076	-0.081	-0.017	0.014	0.13	0.24	0.072	1.00 	0.02 	0.053
LAG3	0.05	0.037	0.06	-0.069	-0.05	-0.021	0.0017	-0.016	0.0098	-0.018	-0.019	0.92	0.024	1.00 	0.82
CTLA4	0.08	0.065	0.12	-0.06	-0.05	-0.053	-0.082	0.057	0.1	-0.023	0.033	0.88	0.053	0.82	1.00 
