LIHC	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1	0.73	0.68	0.22	0.24	0.14	-0.098	0.19	0.51	0.27	0.074	0.016	0.095	-0.021	0.11
KDR	0.73	1	0.77	0.14	0.17	0.061	-0.15	0.15	0.46	0.17	0.064	-0.039	0.047	-0.11	-0.059
FLT4	0.68	0.77	1	0.27	0.29	0.19	-0.048	0.24	0.61	0.28	0.091	0.027	0.029	-0.098	-0.0085
FGFR1	0.22	0.14	0.27	1	0.29	0.28	0.068	0.73	0.47	0.28	0.13	0.15	0.47	0.25	0.13
FGFR2	0.24	0.17	0.29	0.29	1	0.58	0.32	0.25	0.46	0.089	0.074	0.22	-0.045	-0.077	0.011
FGFR3	0.14	0.061	0.19	0.28	0.58	1	0.54	0.19	0.38	0.14	0.11	0.29	-0.08	-0.036	-0.0064
FGFR4	-0.098	-0.15	-0.048	0.068	0.32	0.54	1	0.084	0.13	0.00023	-0.04	0.21	-0.14	-0.067	-0.00096
PDGFRA	0.19	0.15	0.24	0.73	0.25	0.19	0.084	1	0.39	0.14	0.24	0.15	0.34	0.13	0.067
PDGFRB	0.51	0.46	0.61	0.47	0.46	0.38	0.13	0.39	1	0.38	0.059	0.22	0.25	0.046	0.085
KIT	0.27	0.17	0.28	0.28	0.089	0.14	0.00023	0.14	0.38	1	0.03	0.07	0.066	0.024	0.084
RET	0.074	0.064	0.091	0.13	0.074	0.11	-0.04	0.24	0.059	0.03	1	0.22	0.065	-0.043	-0.053
PDCD1	0.016	-0.039	0.027	0.15	0.22	0.29	0.21	0.15	0.22	0.07	0.22	1	0.19	0.41	0.41
CD274	0.095	0.047	0.029	0.47	-0.045	-0.08	-0.14	0.34	0.25	0.066	0.065	0.19	1	0.47	0.36
LAG3	-0.021	-0.11	-0.098	0.25	-0.077	-0.036	-0.067	0.13	0.046	0.024	-0.043	0.41	0.47	1	0.71
CTLA4	0.11	-0.059	-0.0085	0.13	0.011	-0.0064	-0.00096	0.067	0.085	0.084	-0.053	0.41	0.36	0.71	1
