LUAD	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1	0.17	0.42	0.11	0.029	-0.076	0.023	0.42	0.58	0.18	0.11	0.077	0.16	0.039	0.11
KDR	0.17	1	0.057	0.017	0.07	0.082	-0.083	0.18	0.17	0.063	-0.038	-0.055	0.017	-0.081	-0.026
FLT4	0.42	0.057	1	0.056	0.16	0.012	0.21	0.25	0.47	0.052	-0.069	0.13	0.17	0.079	0.2
FGFR1	0.11	0.017	0.056	1	0.19	0.069	0.076	0.12	0.1	-0.0083	0.085	-0.028	-0.026	0.22	0.06
FGFR2	0.029	0.07	0.16	0.19	1	0.43	0.17	0.071	0.096	0.0078	-0.066	-0.13	-0.15	-0.02	-0.096
FGFR3	-0.076	0.082	0.012	0.069	0.43	1	0.16	-0.011	0.031	-0.0039	-0.078	-0.085	-0.16	-0.072	-0.12
FGFR4	0.023	-0.083	0.21	0.076	0.17	0.16	1	-0.0073	0.055	0.0039	-0.045	-0.0027	-0.1	-0.019	-0.0071
PDGFRA	0.42	0.18	0.25	0.12	0.071	-0.011	-0.0073	1	0.74	0.033	0.031	0.092	0.047	0.0022	0.11
PDGFRB	0.58	0.17	0.47	0.1	0.096	0.031	0.055	0.74	1	0.051	-0.046	0.086	0.083	-0.0037	0.13
KIT	0.18	0.063	0.052	-0.0083	0.0078	-0.0039	0.0039	0.033	0.051	1	0.27	-0.16	-0.2	-0.15	-0.13
RET	0.11	-0.038	-0.069	0.085	-0.066	-0.078	-0.045	0.031	-0.046	0.27	1	-0.086	-0.089	0.063	-0.055
PDCD1	0.077	-0.055	0.13	-0.028	-0.13	-0.085	-0.0027	0.092	0.086	-0.16	-0.086	1	0.41	0.57	0.51
CD274	0.16	0.017	0.17	-0.026	-0.15	-0.16	-0.1	0.047	0.083	-0.2	-0.089	0.41	1	0.29	0.36
LAG3	0.039	-0.081	0.079	0.22	-0.02	-0.072	-0.019	0.0022	-0.0037	-0.15	0.063	0.57	0.29	1	0.41
CTLA4	0.11	-0.026	0.2	0.06	-0.096	-0.12	-0.0071	0.11	0.13	-0.13	-0.055	0.51	0.36	0.41	1
