corr	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1	0.43	0.52	0.14	0.05	-0.055	0.047	0.11	0.59	0.015	0.043	0.1	0.078	0.029	0.14
KDR	0.43	1	0.42	0.089	0.011	-0.058	0.036	0.073	0.36	0.11	0.035	0.14	0.082	0.06	0.19
FLT4	0.52	0.42	1	0.15	-0.083	-0.058	0.24	0.11	0.42	0.16	0.067	0.41	0.1	0.16	0.31
FGFR1	0.14	0.089	0.15	1	0.18	-0.038	-0.028	0.05	0.16	0.05	0.061	0.02	-0.061	-0.034	0.18
FGFR2	0.05	0.011	-0.083	0.18	1	0.12	-0.058	-0.047	-0.079	-0.05	-0.079	-0.13	0.11	-0.15	-0.13
FGFR3	-0.055	-0.058	-0.058	-0.038	0.12	1	-0.051	-0.04	-0.072	-0.007	-0.044	-0.069	-0.085	-0.04	-0.08
FGFR4	0.047	0.036	0.24	-0.028	-0.058	-0.051	1	-0.036	-0.051	0.013	0.047	0.079	-0.012	0.065	-0.0036
PDGFRA	0.11	0.073	0.11	0.05	-0.047	-0.04	-0.036	1	0.2	0.079	0.073	0.039	0.029	0.018	0.081
PDGFRB	0.59	0.36	0.42	0.16	-0.079	-0.072	-0.051	0.2	1	0.0016	0.087	0.11	-0.03	0.053	0.24
KIT	0.015	0.11	0.16	0.05	-0.05	-0.007	0.013	0.079	0.0016	1	0.055	0.036	0.057	0.072	-0.0034
RET	0.043	0.035	0.067	0.061	-0.079	-0.044	0.047	0.073	0.087	0.055	1	0.067	0.041	0.08	0.055
PDCD1	0.1	0.14	0.41	0.02	-0.13	-0.069	0.079	0.039	0.11	0.036	0.067	1	0.2	0.63	0.72
CD274	0.078	0.082	0.1	-0.061	0.11	-0.085	-0.012	0.029	-0.03	0.057	0.041	0.2	1	0.32	0.18
LAG3	0.029	0.06	0.16	-0.034	-0.15	-0.04	0.065	0.018	0.053	0.072	0.08	0.63	0.32	1	0.55
CTLA4	0.14	0.19	0.31	0.18	-0.13	-0.08	-0.0036	0.081	0.24	-0.0034	0.055	0.72	0.18	0.55	1
