 OV	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1	0.41	0.25	0.18	0.11	0.13	0.048	0.44	0.58	0.27	0.021	0.22	0.27	0.15	0.27
KDR	0.41	1	0.15	0.13	0.14	0.14	-0.0062	0.26	0.44	0.18	-0.004	0.081	0.074	0.057	0.14
FLT4	0.25	0.15	1	0.13	0.089	0.074	0.11	0.23	0.16	0.096	0.032	0.056	0.089	0.0057	-0.025
FGFR1	0.18	0.13	0.13	1	0.1	0.18	0.058	0.11	0.23	0.26	0.1	-0.011	-0.024	0.00085	-0.077
FGFR2	0.11	0.14	0.089	0.1	1	0.17	0.2	0.057	0.079	0.13	-0.048	-0.088	0.044	-0.047	-0.024
FGFR3	0.13	0.14	0.074	0.18	0.17	1	0.2	0.059	0.075	0.14	-0.017	-0.00012	-0.077	-0.098	-0.078
FGFR4	0.048	-0.0062	0.11	0.058	0.2	0.2	1	0.098	0.028	0.17	-0.021	0.015	0.015	0.0033	-0.055
PDGFRA	0.44	0.26	0.23	0.11	0.057	0.059	0.098	1	0.66	0.4	0.039	0.098	0.027	0.033	0.092
PDGFRB	0.58	0.44	0.16	0.23	0.079	0.075	0.028	0.66	1	0.3	0.093	0.13	0.031	-0.0051	0.14
KIT	0.27	0.18	0.096	0.26	0.13	0.14	0.17	0.4	0.3	1	0.12	-0.014	-0.034	-0.039	0.018
RET	0.021	-0.004	0.032	0.1	-0.048	-0.017	-0.021	0.039	0.093	0.12	1	0.038	-0.019	-0.016	-0.036
PDCD1	0.22	0.081	0.056	-0.011	-0.088	-0.00012	0.015	0.098	0.13	-0.014	0.038	1	0.38	0.6	0.69
CD274	0.27	0.074	0.089	-0.024	0.044	-0.077	0.015	0.027	0.031	-0.034	-0.019	0.38	1	0.46	0.52
LAG3	0.15	0.057	0.0057	0.00085	-0.047	-0.098	0.0033	0.033	-0.0051	-0.039	-0.016	0.6	0.46	1	0.54
CTLA4	0.27	0.14	-0.025	-0.077	-0.024	-0.078	-0.055	0.092	0.14	0.018	-0.036	0.69	0.52	0.54	1
