 PAAD	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1	0.71	0.54	0.48	-0.12	-0.091	-0.2	0.36	0.6	0.47	0.15	-0.016	0.29	0.037	0.091
KDR	0.71	1	0.69	0.58	0.03	-0.018	-0.14	0.46	0.47	0.57	0.25	0.16	0.24	0.084	0.21
FLT4	0.54	0.69	1	0.48	-0.04	-0.046	-0.15	0.39	0.39	0.46	0.14	0.34	0.21	0.26	0.35
FGFR1	0.48	0.58	0.48	1	-0.063	0.2	-0.039	0.49	0.51	0.39	0.22	0.13	0.17	0.052	0.16
FGFR2	-0.12	0.03	-0.04	-0.063	1	0.23	0.15	0.0068	0.012	0.2	-0.13	-0.055	0.036	-0.12	-0.073
FGFR3	-0.091	-0.018	-0.046	0.2	0.23	1	0.55	-0.21	-0.21	-0.064	0.056	-0.078	-0.13	-0.15	-0.11
FGFR4	-0.2	-0.14	-0.15	-0.039	0.15	0.55	1	-0.22	-0.2	-0.13	-0.075	-0.14	-0.25	-0.2	-0.19
PDGFRA	0.36	0.46	0.39	0.49	0.0068	-0.21	-0.22	1	0.64	0.53	-0.015	0.25	0.36	0.31	0.28
PDGFRB	0.6	0.47	0.39	0.51	0.012	-0.21	-0.2	0.64	1	0.44	-0.072	0.13	0.39	0.02	0.2
KIT	0.47	0.57	0.46	0.39	0.2	-0.064	-0.13	0.53	0.44	1	0.048	0.19	0.26	0.044	0.23
RET	0.15	0.25	0.14	0.22	-0.13	0.056	-0.075	-0.015	-0.072	0.048	1	-0.02	-0.042	0.042	-0.025
PDCD1	-0.016	0.16	0.34	0.13	-0.055	-0.078	-0.14	0.25	0.13	0.19	-0.02	1	0.29	0.54	0.81
CD274	0.29	0.24	0.21	0.17	0.036	-0.13	-0.25	0.36	0.39	0.26	-0.042	0.29	1	0.45	0.39
LAG3	0.037	0.084	0.26	0.052	-0.12	-0.15	-0.2	0.31	0.02	0.044	0.042	0.54	0.45	1	0.54
CTLA4	0.091	0.21	0.35	0.16	-0.073	-0.11	-0.19	0.28	0.2	0.23	-0.025	0.81	0.39	0.54	1
