 PRAD	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1	0.84	0.82	0.35	0.013	0.077	0.04	0.26	0.49	0.46	-0.042	0.0022	0.16	-0.11	-0.019
KDR	0.84	1	0.83	0.53	0.068	0.048	0.079	0.3	0.63	0.58	-0.0065	0.042	0.24	-0.089	-0.012
FLT4	0.82	0.83	1	0.52	0.11	0.081	0.13	0.27	0.64	0.45	-0.065	0.13	0.2	0.0054	0.083
FGFR1	0.35	0.53	0.52	1	0.11	0.0035	0.23	0.31	0.68	0.5	-0.019	0.12	0.2	0.044	0.098
FGFR2	0.013	0.068	0.11	0.11	1	-0.026	0.031	0.014	0.058	0.051	-0.047	0.035	0.07	0.022	0.036
FGFR3	0.077	0.048	0.081	0.0035	-0.026	1	0.062	-0.037	-0.013	-0.0018	-0.076	-0.016	0.029	0.054	-0.077
FGFR4	0.04	0.079	0.13	0.23	0.031	0.062	1	0.047	0.016	0.074	0.00035	-0.042	-0.002	0.092	-0.063
PDGFRA	0.26	0.3	0.27	0.31	0.014	-0.037	0.047	1	0.42	0.27	-0.0048	0.089	0.14	-0.015	0.11
PDGFRB	0.49	0.63	0.64	0.68	0.058	-0.013	0.016	0.42	1	0.46	-0.034	0.22	0.27	0.039	0.22
KIT	0.46	0.58	0.45	0.5	0.051	-0.0018	0.074	0.27	0.46	1	0.027	0.15	0.3	-0.017	0.083
RET	-0.042	-0.0065	-0.065	-0.019	-0.047	-0.076	0.00035	-0.0048	-0.034	0.027	1	-0.0045	0.041	-0.078	0.035
PDCD1	0.0022	0.042	0.13	0.12	0.035	-0.016	-0.042	0.089	0.22	0.15	-0.0045	1	0.52	0.62	0.68
CD274	0.16	0.24	0.2	0.2	0.07	0.029	-0.002	0.14	0.27	0.3	0.041	0.52	1	0.37	0.41
LAG3	-0.11	-0.089	0.0054	0.044	0.022	0.054	0.092	-0.015	0.039	-0.017	-0.078	0.62	0.37	1	0.46
CTLA4	-0.019	-0.012	0.083	0.098	0.036	-0.077	-0.063	0.11	0.22	0.083	0.035	0.68	0.41	0.46	1
