	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1	0.8404	0.7396	0.2599	0.2466	-0.0104	0.079	0.202	0.6242	0.1491	0.0652	-0.0136	0.187	-0.0434	-0.0383
KDR	0.8404	1	0.7587	0.302	0.2169	-0.0883	0.045	0.2592	0.6466	0.216	0.1078	0.0129	0.1832	-0.0151	-0.0218
FLT4	0.7396	0.7587	1	0.348	0.1631	-0.0845	0.0907	0.1404	0.6039	0.2623	0.0991	0.0959	0.1272	0.02632	-0.0203
FGFR1	0.2599	0.302	0.348	1	0.1363	-0.2401	-0.1204	0.2998	0.4125	0.2136	0.3016	-0.0213	-0.0446	0.0005	-0.0911
FGFR2	0.2466	0.2169	0.1631	0.1363	1	0.4206	0.0951	0.2628	0.1749	-0.0112	0.1195	-0.074	0.0468	-0.0648	-0.0913
FGFR3	-0.0104	-0.0883	-0.0845	-0.2401	0.4206	1	0.2707	0.1438	0.0032	-0.1208	-0.021	-0.0426	-0.0179	-0.0467	0.0109
FGFR4	0.079	0.045	0.0907	-0.1204	0.0951	0.2707	1	0.0209	0.1082	-0.1558	-0.192	0.1112	-0.1091	0.089	0.0889
PDGFRA	0.202	0.2592	0.1404	0.2998	0.2628	0.1438	0.0209	1	0.5423	0.1655	0.2544	0.0061	0.0693	0.0801	0.0146
PDGFRB	0.6242	0.6466	0.6039	0.4125	0.1749	0.0032	0.1082	0.5423	1	0.1613	0.207	0.1217	0.1439	0.1476	0.2007
KIT	0.1491	0.216	0.2623	0.2136	-0.0112	-0.1208	-0.1558	0.1655	0.1613	1	0.1316	-0.033	0.0747	-0.1153	-0.0219
RET	0.0652	0.1078	0.0991	0.3016	0.1195	-0.021	-0.192	0.2544	0.207	0.1316	1	-0.1444	-0.0675	-0.0474	-0.0954
PDCD1	-0.0136	0.0129	0.0959	-0.0213	-0.074	-0.0426	0.1112	0.0061	0.1217	-0.033	-0.1444	1	0.4313	0.7677	0.7493
CD274	0.187	0.1832	0.1272	-0.0446	0.0468	-0.0179	-0.1091	0.0693	0.1439	0.0747	-0.0675	0.4313	1	0.3826	0.4681
LAG3	-0.0434	-0.0151	0.0263	0.0005	-0.0648	-0.0467	0.089	0.0801	0.1476	-0.1153	-0.0474	0.7677	0.3826	1	0.7032
CTLA4	-0.0383	-0.02183	-0.0203	-0.0911	-0.0913	0.0109	0.0889	0.0146	0.2007	-0.0219	-0.0954	0.7493	0.4681	0.7032	1
