READ	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1	0.79	0.76	0.58	0.068	0.056	-0.075	0.56	0.67	0.34	0.22	0.48	0.17	0.42	0.26
KDR	0.79	1	0.89	0.64	0.21	0.02	-0.16	0.8	0.78	0.43	0.4	0.43	0.13	0.35	0.18
FLT4	0.76	0.89	1	0.7	0.27	0.041	-0.17	0.73	0.79	0.48	0.42	0.37	0.17	0.36	0.14
FGFR1	0.58	0.64	0.7	1	0.18	-0.0081	-0.18	0.69	0.8	0.35	0.26	0.38	0.12	0.33	0.1
FGFR2	0.068	0.21	0.27	0.18	1	0.13	-0.31	0.24	0.19	0.22	0.26	0.085	-0.069	0.021	-0.006
FGFR3	0.056	0.02	0.041	-0.0081	0.13	1	0.19	0.025	-0.043	0.063	-0.06	0.1	-0.075	0.028	0.05
FGFR4	-0.075	-0.16	-0.17	-0.18	-0.31	0.19	1	-0.24	-0.22	-0.1	-0.19	-0.081	0.15	-0.064	0.065
PDGFRA	0.56	0.8	0.73	0.69	0.24	0.025	-0.24	1	0.84	0.37	0.39	0.36	0.018	0.27	0.065
PDGFRB	0.67	0.78	0.79	0.8	0.19	-0.043	-0.22	0.84	1	0.38	0.38	0.37	0.079	0.28	0.11
KIT	0.34	0.43	0.48	0.35	0.22	0.063	-0.1	0.37	0.38	1	0.26	0.31	0.54	0.35	0.079
RET	0.22	0.4	0.42	0.26	0.26	-0.06	-0.19	0.39	0.38	0.26	1	-0.016	-0.044	-0.0083	-0.05
PDCD1	0.48	0.43	0.37	0.38	0.085	0.1	-0.081	0.36	0.37	0.31	-0.016	1	0.4	0.81	0.5
CD274	0.17	0.13	0.17	0.12	-0.069	-0.075	0.15	0.018	0.079	0.54	-0.044	0.4	1	-0.59	-0.15
LAG3	0.42	0.35	0.36	0.33	0.021	0.028	-0.064	0.27	0.28	0.35	-0.0083	0.81	0.59	1	0.19
CTLA4	0.26	0.18	0.14	0.1	-0.006	0.05	0.065	0.065	0.11	0.079	-0.05	0.5	0.15	0.19	1
