SKCM	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1	0.33	0.23	0.27	-0.038	-0.033	0.092	0.33	0.56	-0.05	0.063	-0.032	0.038	-0.0076	0.15
KDR	0.33	1	0.18	0.1	-0.028	-0.019	-0.00054	0.26	0.36	0.028	0.045	-0.019	-0.0011	-0.019	0.054
FLT4	0.23	0.18	1	0.062	-0.0029	-0.016	0.26	0.25	0.34	-0.013	0.13	0.059	0.013	0.013	0.062
FGFR1	0.27	0.1	0.062	1	0.022	-0.0077	0.00069	0.27	0.3	0.037	0.0046	-0.13	-0.025	-0.12	0.22
FGFR2	-0.038	-0.028	-0.0029	0.022	1	0.14	-0.022	0.048	0.034	-0.01	0.076	-0.033	-0.02	-0.034	-0.029
FGFR3	-0.033	-0.019	-0.016	-0.0077	0.14	1	-0.034	-0.0065	0.00036	0.0018	0.64	-0.037	-0.022	-0.033	-0.029
FGFR4	0.092	-0.00054	0.26	0.00069	-0.022	-0.034	1	-0.043	0.1099	-0.03	0.0076	-0.11	-0.02	-0.094	-0.045
PDGFRA	0.33	0.26	0.25	0.27	0.048	-0.0065	-0.043	1	0.62	-0.062	0.11	0.057	0.06	0.037	0.32
PDGFRB	0.56	0.36	0.34	0.3	0.034	0.00036	0.1099	0.62	1	-0.037	0.14	0.031	0.041	0.0056	0.22
KIT	-0.05	0.028	-0.013	0.037	-0.01	0.0018	-0.03	-0.062	-0.037	1	-0.023	-0.11	-0.071	-0.097	-0.0074
RET	0.063	0.045	0.13	0.0046	0.076	0.64	0.0076	0.11	0.14	-0.023	1	0.04	0.041	-0.012	0.02
PDCD1	-0.032	-0.019	0.059	-0.13	-0.033	-0.037	-0.11	0.057	0.031	-0.11	0.04	1	0.24	0.92	0.18
CD274	0.038	-0.0011	0.013	-0.025	-0.02	-0.022	-0.02	0.06	0.041	-0.071	0.041	0.24	1	0.27	0.056
LAG3	-0.0076	-0.019	0.013	-0.12	-0.034	-0.033	-0.094	0.037	0.0056	-0.097	-0.012	0.92	0.27	1	0.17
CTLA4	0.15	0.054	0.062	0.22	-0.029	-0.029	-0.045	0.32	0.22	-0.0074	0.02	0.18	0.056	0.17	1
