STAD	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1.00 	0.81 	0.69 	0.21 	0.05 	0.08 	0.09 	0.39 	0.56 	0.31 	0.05 	0.06 	0.10 	0.04 	0.05 
KDR	0.81 	1.00 	0.76 	0.20 	0.04 	-0.01 	0.06 	0.46 	0.61 	0.24 	0.02 	0.05 	0.08 	0.00 	0.02 
FLT4	0.69 	0.76 	1.00 	0.43 	0.09 	-0.03 	0.06 	0.46 	0.70 	0.28 	0.05 	0.17 	0.13 	0.04 	0.09 
FGFR1	0.21 	0.20 	0.43 	1.00 	0.01 	-0.01 	-0.12 	0.35 	0.36 	0.29 	0.22 	0.03 	-0.03 	-0.08 	0.05 
FGFR2	0.05 	0.04 	0.09 	0.01 	1.00 	-0.02 	-0.01 	-0.01 	0.03 	0.05 	-0.01 	0.01 	-0.02 	0.03 	0.02 
FGFR3	0.08 	-0.01 	-0.03 	-0.01 	-0.02 	1.00 	0.45 	0.02 	-0.04 	-0.06 	0.15 	-0.04 	-0.06 	-0.10 	0.00 
FGFR4	0.09 	0.06 	0.06 	-0.12 	-0.01 	0.45 	1.00 	-0.07 	-0.02 	-0.07 	-0.01 	0.00 	-0.03 	-0.05 	-0.02 
PDGFRA	0.39 	0.46 	0.46 	0.35 	-0.01 	0.02 	-0.07 	1.00 	0.68 	0.35 	0.03 	-0.04 	-0.02 	-0.12 	-0.02 
PDGFRB	0.56 	0.61 	0.70 	0.36 	0.03 	-0.04 	-0.02 	0.68 	1.00 	0.34 	0.07 	0.08 	0.05 	0.00 	-0.01 
KIT	0.31 	0.24 	0.28 	0.29 	0.05 	-0.06 	-0.07 	0.35 	0.34 	1.00 	0.18 	-0.06 	-0.04 	-0.10 	-0.05 
RET	0.05 	0.02 	0.05 	0.22 	-0.01 	0.15 	-0.01 	0.03 	0.07 	0.18 	1.00 	-0.07 	-0.04 	-0.07 	0.02 
PDCD1	0.06 	0.05 	0.17 	0.03 	0.01 	-0.04 	0.00 	-0.04 	0.08 	-0.06 	-0.07 	1.00 	0.21 	0.51 	0.46 
CD274	0.10 	0.08 	0.13 	-0.03 	-0.02 	-0.06 	-0.03 	-0.02 	0.05 	-0.04 	-0.04 	0.21 	1.00 	0.30 	0.08 
LAG3	0.04 	0.00 	0.04 	-0.08 	0.03 	-0.10 	-0.05 	-0.12 	0.00 	-0.10 	-0.07 	0.51 	0.30 	1.00 	0.15 
CTLA4	0.05 	0.02 	0.09 	0.05 	0.02 	0.00 	-0.02 	-0.02 	-0.01 	-0.05 	0.02 	0.46 	0.08 	0.15 	1.00 
