THCA	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1	0.93	0.87	0.3	0.44	0.19	0.12	-0.049	0.54	0.41	0.0085	-0.11	-0.32	-0.19	-0.26
KDR	0.93	1	0.86	0.25	0.45	0.17	-0.14	-0.069	0.56	0.47	-0.02	-0.091	-0.28	-0.15	-0.24
FLT4	0.87	0.86	1	0.26	0.38	0.2	0.21	-0.055	0.54	0.36	0.0088	-0.076	-0.35	-0.16	-0.23
FGFR1	0.3	0.25	0.26	1	0.15	-0.0052	-0.0059	0.18	0.34	-0.001	-0.013	-0.087	0.039	-0.17	0.0043
FGFR2	0.44	0.45	0.38	0.15	1	0.31	0.19	0.087	0.22	0.56	-0.041	-0.17	-0.21	-0.19	-0.23
FGFR3	0.19	0.17	0.2	-0.0052	0.31	1	0.18	0.084	0.053	0.054	-0.044	-0.12	-0.15	-0.14	-0.15
FGFR4	0.12	-0.14	0.21	-0.0059	0.19	0.18	1	-0.082	0.0034	0.27	-0.017	-0.082	-0.18	-0.1	-0.11
PDGFRA	-0.049	-0.069	-0.055	0.18	0.087	0.084	-0.082	1	0.43	-0.052	0.035	0.19	0.21	0.19	0.47
PDGFRB	0.54	0.56	0.54	0.34	0.22	0.053	0.0034	0.43	1	0.21	0.069	-0.017	-0.087	-0.053	0.13
KIT	0.41	0.47	0.36	-0.001	0.56	0.054	0.27	-0.052	0.21	1	-0.018	-0.077	-0.23	-0.051	-0.13
RET	0.0085	-0.02	0.0088	-0.013	-0.041	-0.044	-0.017	0.035	0.069	-0.018	1	0.083	0.0037	0.046	0.1
PDCD1	-0.11	-0.091	-0.076	-0.087	-0.17	-0.12	-0.082	0.19	-0.017	-0.077	0.083	1	0.21	0.88	0.65
CD274	-0.32	-0.28	-0.35	0.039	-0.21	-0.15	-0.18	0.21	-0.087	-0.23	0.0037	0.21	1	-0.26	0.42
LAG3	-0.19	-0.15	-0.16	-0.17	-0.19	-0.14	-0.1	0.19	-0.053	-0.051	0.046	0.88	-0.26	1	0.63
CTLA4	-0.26	-0.24	-0.23	0.0043	-0.23	-0.15	-0.11	0.47	0.13	-0.13	0.1	0.65	0.42	0.63	1
