UCEC	FLT1	KDR	FLT4	FGFR1	FGFR2	FGFR3	FGFR4	PDGFRA	PDGFRB	KIT	RET	PDCD1	CD274	LAG3	CTLA4
FLT1	1.00 	0.70 	0.55 	0.14 	0.15 	-0.02 	0.09 	0.14 	0.34 	0.22 	0.14 	-0.09 	0.06 	-0.15 	0.08 
KDR	0.70 	1.00 	0.80 	0.09 	0.03 	-0.02 	0.05 	0.14 	0.50 	0.24 	0.06 	-0.09 	0.03 	-0.13 	0.04 
FLT4	0.55 	0.80 	1.00 	-0.02 	-0.02 	0.08 	0.12 	0.13 	0.55 	0.30 	0.06 	-0.02 	0.08 	-0.06 	0.09 
FGFR1	0.14 	0.09 	-0.02 	1.00 	0.08 	-0.06 	-0.22 	0.32 	0.00 	0.16 	-0.04 	-0.20 	-0.14 	-0.19 	-0.17 
FGFR2	0.15 	0.03 	-0.02 	0.08 	1.00 	0.04 	0.03 	0.02 	0.00 	-0.03 	0.00 	-0.17 	-0.12 	-0.18 	-0.10 
FGFR3	-0.02 	-0.02 	0.08 	-0.06 	0.04 	1.00 	0.24 	0.00 	0.08 	0.01 	0.11 	-0.05 	-0.09 	-0.07 	-0.16 
FGFR4	0.09 	0.05 	0.12 	-0.22 	0.03 	0.24 	1.00 	-0.01 	0.03 	-0.07 	0.08 	0.11 	0.05 	0.09 	0.02 
PDGFRA	0.14 	0.14 	0.13 	0.32 	0.02 	0.00 	-0.01 	1.00 	0.08 	0.03 	-0.03 	-0.06 	-0.05 	-0.05 	-0.06 
PDGFRB	0.34 	0.50 	0.55 	0.00 	0.00 	0.08 	0.03 	0.08 	1.00 	0.19 	-0.04 	0.10 	0.01 	0.07 	0.18 
KIT	0.22 	0.24 	0.30 	0.16 	-0.03 	0.01 	-0.07 	0.03 	0.19 	1.00 	0.09 	0.00 	0.41 	-0.09 	0.02 
RET	0.14 	0.06 	0.06 	-0.04 	0.00 	0.11 	0.08 	-0.03 	-0.04 	0.09 	1.00 	-0.09 	-0.02 	-0.07 	-0.09 
PDCD1	-0.09 	-0.09 	-0.02 	-0.20 	-0.17 	-0.05 	0.11 	-0.06 	0.10 	0.00 	-0.09 	1.00 	0.28 	0.80 	0.70 
CD274	0.06 	0.03 	0.08 	-0.14 	-0.12 	-0.09 	0.05 	-0.05 	0.01 	0.41 	-0.02 	0.28 	1.00 	0.32 	0.24 
LAG3	-0.15 	-0.13 	-0.06 	-0.19 	-0.18 	-0.07 	0.09 	-0.05 	0.07 	-0.09 	-0.07 	0.80 	0.32 	1.00 	0.50 
CTLA4	0.08 	0.04 	0.09 	-0.17 	-0.10 	-0.16 	0.02 	-0.06 	0.18 	0.02 	-0.09 	0.70 	0.24 	0.50 	1.00 
