Gene,Mutation , Data
A,Mut,68.67
A,Amp,15.59
A,Del,9.58
A,Multiple,0.58
A,Fusion,0
B,Mut,78.78
B,Amp,26.76
B,Del,1.06
B,Multiple,2.2
B,Fusion,0
C,Mut,65.74
C,Amp,30.75
C,Del,6.95
C,Multiple,3.61
C,Fusion,0.23
D,Mut,29.27
D,Amp,84.28
D,Del,31.06
D,Multiple,1.8
D,Fusion,0.35
E,Mut,58.86
E,Amp,15.08
E,Del,7.41
E,Multiple,1.02
E,Fusion,15.69
F,Mut,42.11
F,Amp,38.73
F,Del,8.71
F,Multiple,3.78
F,Fusion,7.22
G,Mut,33.1
G,Amp,29.77
G,Del,7.33
G,Multiple,0.43
G,Fusion,0
H,Mut,56.62
H,Amp,36.53
H,Del,2.72
H,Multiple,5.14
H,Fusion,1.13
I,Mut,48.2
I,Amp,20.53
I,Del,3.52
I,Multiple,2.14
I,Fusion,0
J,Mut,65.68
J,Amp,30.85
J,Del,3.56
J,Multiple,5.34
J,Fusion,0.23
K,Mut,55.64
K,Amp,10.15
K,Del,6.38
K,Multiple,0.89
K,Fusion,7.22
L,Mut,18.19
L,Amp,13.4
L,Del,34.93
L,Multiple,0.19
L,Fusion,0
M,Mut,12.14
M,Amp,34.95
M,Del,21.96
M,Multiple,0.29
M,Fusion,0.53
N,Mut,15.12
N,Amp,43.01
N,Del,2.64
N,Multiple,0.21
N,Fusion,0
O,Mut,11.7
O,Amp,14.06
O,Del,6.37
O,Multiple,0.18
O,Fusion,0.56
