Tumor,Mutation,Data
ZB,Mut,103.83
ZB,Amp,9.02
ZB,Del,4.75
ZB,Multiple,2.95
ZB,Fusion,0.46
ZC,Mut,88.07
ZC,Amp,12.29
ZC,Del,3.03
ZC,Multiple,0.76
ZC,Fusion,0
ZD,Mut,36.98
ZD,Amp,36.97
ZD,Del,8.45
ZD,Multiple,2.27
ZD,Fusion,1.64
ZE,Mut,38.95
ZE,Amp,24.57
ZE,Del,9.99
ZE,Multiple,2.18
ZE,Fusion,1.7
ZA,Mut,39.57
ZA,Amp,14.48
ZA,Del,8.67
ZA,Multiple,1.43
ZA,Fusion,0.35
Y,Mut,39.98
Y,Amp,14.06
Y,Del,8.84
Y,Multiple,1.15
Y,Fusion,0.23
ZF,Mut,19.28
ZF,Amp,40.33
ZF,Del,3.51
ZF,Multiple,0
ZF,Fusion,0
Z,Mut,42.76
Z,Amp,12.13
Z,Del,2.37
Z,Multiple,0.68
Z,Fusion,0
J,Mut,10.19
J,Amp,29.83
J,Del,14.89
J,Multiple,0.39
J,Fusion,0.78
L,Mut,15.4
L,Amp,24.74
L,Del,10.45
L,Multiple,0
L,Fusion,1.65
K,Mut,11.81
K,Amp,28.76
K,Del,6.83
K,Multiple,0.34
K,Fusion,0.51
B,Mut,10.83
B,Amp,30.08
B,Del,1.87
B,Multiple,3.21
B,Fusion,0.17
M,Mut,21.77
M,Amp,15.29
M,Del,6.69
M,Multiple,0.57
M,Fusion,0.57
H,Mut,19.51
H,Amp,9.42
H,Del,6.42
H,Multiple,1.02
H,Fusion,1.69
A,Mut,13.9
A,Amp,8.34
A,Del,0
A,Multiple,0
A,Fusion,13.89
X,Mut,17.6
X,Amp,14.29
X,Del,3.3
X,Multiple,0
X,Fusion,0
D,Mut,8.19
D,Amp,20.57
D,Del,4.32
D,Multiple,1.1
D,Fusion,0.46
G,Mut,7.57
G,Amp,15.16
G,Del,9.14
G,Multiple,2.14
G,Fusion,0.38
W,Mut,6.09
W,Amp,23.1
W,Del,1.58
W,Multiple,0.6
W,Fusion,0
I,Mut,10.31
I,Amp,17.91
I,Del,1.63
I,Multiple,0.54
I,Fusion,0
C,Mut,14.09
C,Amp,8.72
C,Del,5.36
C,Multiple,1.34
C,Fusion,0
F,Mut,14.53
F,Amp,5.94
F,Del,6.46
F,Multiple,0
F,Fusion,1.08
N,Mut,18.74
N,Amp,4.17
N,Del,4.16
N,Multiple,0
N,Fusion,0
E,Mut,6.06
E,Amp,8.27
E,Del,9.49
E,Multiple,0.4
E,Fusion,0
T,Mut,8.49
T,Amp,2.83
T,Del,2.82
T,Multiple,0
T,Fusion,0
S,Mut,7.5
S,Amp,0
S,Del,3.75
S,Multiple,1.25
S,Fusion,0
O,Mut,6.17
O,Amp,5.6
O,Del,0
O,Multiple,0
O,Fusion,0
R,Mut,9
R,Amp,0.5
R,Del,0.09
R,Multiple,0
R,Fusion,1
P,Mut,2.2
P,Amp,0.8
P,Del,0.2
P,Multiple,0.4
P,Fusion,6.6
Q,Mut,3.08
Q,Amp,1.54
Q,Del,1.54
Q,Multiple,3.08
Q,Fusion,0
U,Mut,5.75
U,Amp,2.3
U,Del,1.15
U,Multiple,0
U,Fusion,0
V,Mut,1.62
V,Amp,2.43
V,Del,2.43
V,Multiple,0
V,Fusion,0
