ID	cancer	infiltrates
1	ACC	AT cell CD8+
2	BLCA	AT cell CD8+
3	BRCA	AT cell CD8+
4	CESC	AT cell CD8+
5	CHOL	AT cell CD8+
6	COAD	AT cell CD8+
7	DLBC	AT cell CD8+
8	ESCA	AT cell CD8+
9	GBM	AT cell CD8+
10	HNSC	AT cell CD8+
11	KICH	AT cell CD8+
12	KIRC	AT cell CD8+
13	KIRP	AT cell CD8+
14	LGG	AT cell CD8+
15	LIHC	AT cell CD8+
16	LUAD	AT cell CD8+
17	LUSC	AT cell CD8+
18	MESO	AT cell CD8+
19	OV	AT cell CD8+
20	PAAD	AT cell CD8+
21	PCPG	AT cell CD8+
22	PRAD	AT cell CD8+
23	READ	AT cell CD8+
24	SARC	AT cell CD8+
25	SKCM	AT cell CD8+
26	STAD	AT cell CD8+
27	TGCT	AT cell CD8+
28	THCA	AT cell CD8+
29	THYM	AT cell CD8+
30	UCEC	AT cell CD8+
31	UCS	AT cell CD8+
32	UVM	AT cell CD8+
33	ACC	BTregs
34	BLCA	BTregs
35	BRCA	BTregs
36	CESC	BTregs
37	CHOL	BTregs
38	COAD	BTregs
39	DLBC	BTregs
40	ESCA	BTregs
41	GBM	BTregs
42	HNSC	BTregs
43	KICH	BTregs
44	KIRC	BTregs
45	KIRP	BTregs
46	LGG	BTregs
47	LIHC	BTregs
48	LUAD	BTregs
49	LUSC	BTregs
50	MESO	BTregs
51	OV	BTregs
52	PAAD	BTregs
53	PCPG	BTregs
54	PRAD	BTregs
55	READ	BTregs
56	SARC	BTregs
57	SKCM	BTregs
58	STAD	BTregs
59	TGCT	BTregs
60	THCA	BTregs
61	THYM	BTregs
62	UCEC	BTregs
63	UCS	BTregs
64	UVM	BTregs
65	ACC	CMacrophage M2
66	BLCA	CMacrophage M2
67	BRCA	CMacrophage M2
68	CESC	CMacrophage M2
69	CHOL	CMacrophage M2
70	COAD	CMacrophage M2
71	DLBC	CMacrophage M2
72	ESCA	CMacrophage M2
73	GBM	CMacrophage M2
74	HNSC	CMacrophage M2
75	KICH	CMacrophage M2
76	KIRC	CMacrophage M2
77	KIRP	CMacrophage M2
78	LGG	CMacrophage M2
79	LIHC	CMacrophage M2
80	LUAD	CMacrophage M2
81	LUSC	CMacrophage M2
82	MESO	CMacrophage M2
83	OV	CMacrophage M2
84	PAAD	CMacrophage M2
85	PCPG	CMacrophage M2
86	PRAD	CMacrophage M2
87	READ	CMacrophage M2
88	SARC	CMacrophage M2
89	SKCM	CMacrophage M2
90	STAD	CMacrophage M2
91	TGCT	CMacrophage M2
92	THCA	CMacrophage M2
93	THYM	CMacrophage M2
94	UCEC	CMacrophage M2
95	UCS	CMacrophage M2
96	UVM	CMacrophage M2
97	ACC	DMDSC
98	BLCA	DMDSC
99	BRCA	DMDSC
100	CESC	DMDSC
101	CHOL	DMDSC
102	COAD	DMDSC
103	DLBC	DMDSC
104	ESCA	DMDSC
105	GBM	DMDSC
106	HNSC	DMDSC
107	KICH	DMDSC
108	KIRC	DMDSC
109	KIRP	DMDSC
110	LGG	DMDSC
111	LIHC	DMDSC
112	LUAD	DMDSC
113	LUSC	DMDSC
114	MESO	DMDSC
115	OV	DMDSC
116	PAAD	DMDSC
117	PCPG	DMDSC
118	PRAD	DMDSC
119	READ	DMDSC
120	SARC	DMDSC
121	SKCM	DMDSC
122	STAD	DMDSC
123	TGCT	DMDSC
124	THCA	DMDSC
125	THYM	DMDSC
126	UCEC	DMDSC
127	UCS	DMDSC
128	UVM	DMDSC
