	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128
AFLT1	-0.318219715	-0.148660539	-0.231737498	-0.20462004	-0.066664559	-0.207465694	-0.03393548	-0.114909815	-0.286735476	-0.21740071	-0.000870139	-0.168546892	0.000420083	-0.051810806	-0.205468412	-0.072007195	-0.177688353	0.040917039	-0.162209258	-0.162932419	-0.331460682	-0.298042947	-0.179847013	-0.097241216	-0.224125397	-0.115091542	-0.195447746	0.001304224	-0.07500448	-0.201288915	-0.069461243	0.159948148	0.005719841	0.050618633	-0.214836654	-0.154493294	-0.137711049	-0.025830497	-0.501623379	0.080490309	0.206282846	0.033853226	-0.095651399	-0.339158966	0.044884009	-0.156104236	-0.139974315	-0.0696325	0.035444718	0.101258139	-0.061287892	-0.096217338	-0.111541783	-0.252835927	-0.168124769	0.038168495	-0.110543145	-0.100124308	0.029253014	-0.475763702	-0.398677744	-0.253597645	-0.02871738	0.021530995	0.047199051	0.067109421	0.10880526	-0.009687542	0.054832024	0.286805154	-0.113720983	0.053573475	-0.132426834	0.105705843	-0.077017055	0.08500161	-0.069992379	-0.18888325	0.144062246	0.049742557	0.159487181	-0.094630513	-0.053240751	0.150377107	-0.053319367	0.200773375	0.436352529	0.161066615	0.143125611	0.052411334	0.540953506	0.164924093	0.289487442	-0.165079877	0.115851146	-0.196974985	0.332403826	-0.060979645	-0.157529242	0.144804987	-0.040305307	-0.081828788	0.060513097	-0.231559311	0.045711644	-0.054476085	-0.258069504	-0.007078054	0.027654257	0.015910838	-0.049315997	0.095784753	-0.151449809	0.222999982	0.057531123	-0.067003904	0.131874808	-0.189291119	0.135720859	-0.05453822	0.151464636	-0.169046288	0.046024307	0.171848208	0.153844301	0.058634381	0.055926248	0.010608299
BKDR	-0.074896443	-0.148144609	-0.14267266	-0.204616021	0.013394457	-0.171881057	-0.016600444	-0.07539846	-0.137705224	-0.135148612	0.045587994	-0.140336632	0.077541491	0.05152972	-0.198306318	-0.177320244	-0.056659122	0.09245429	-0.146005492	0.141030474	-0.273152257	-0.333115478	-0.143978294	-0.073535458	-0.229344356	-0.088331247	-0.032161016	0.009807957	-0.054429059	-0.26934605	-0.103739158	0.190642608	-0.316513317	0.072190634	-0.175285146	-0.005673441	-0.214858267	-0.038716207	-0.587699481	0.233509942	0.101074989	0.087260125	-0.062846525	-0.380880979	0.03805012	0.041937271	-0.192802893	0.027314177	0.101146406	-0.217374836	-0.074293493	-0.152763126	-0.136749257	-0.273326607	-0.062554832	0.032888614	-0.012283197	-0.014326524	0.009452012	-0.421942837	-0.40107319	0.026892831	0.010863967	0.013960861	0.155114857	0.06966387	0.115886504	0.055789668	-0.005614802	0.356126681	0.013850498	0.04616763	-0.041681111	0.159453667	0.105893245	0.12445719	-0.023819846	0.116313986	0.152823228	0.127998148	0.208415365	-0.075738587	0.063044619	0.062555758	-0.051784371	0.162571632	0.411382324	0.148026119	0.194694465	0.032889459	0.648301423	0.121090073	0.302550822	-0.185130168	0.49388954	-0.128079654	0.042067391	-0.15425456	-0.272448272	0.011969523	-0.323400092	-0.177525651	0.108591646	-0.292315479	0.053856884	-0.194148521	-0.366442467	-0.043891901	-0.077489977	0.156303886	-0.247464903	-0.087970767	-0.339208082	-0.170941067	0.02109445	-0.474217955	0.152422908	-0.234293864	0.063704895	-0.067501445	0.033254866	-0.293998558	0.371416086	0.092661402	0.113484345	-0.004194244	-0.354518782	-0.015311377
CFLT4	-0.231148327	-0.145659584	-0.018609303	-0.19849422	0.072772005	-0.148794142	0.017285235	-0.036348817	-0.197038313	-0.113114308	0.01998776	-0.108732916	0.192090888	0.163570567	-0.192657053	-0.01827091	0.007706815	-0.059207597	-0.090805514	0.115837821	-0.272909746	-0.24966533	-0.090557363	-0.007265308	-0.214185608	0.010503112	0.003707992	0.012376481	-0.028675635	-0.067640018	0.142854623	0.05877931	-0.250360252	0.105210744	-0.020971349	-0.019556332	-0.162402148	-0.005165885	-0.171047806	0.088073785	0.11861879	0.101836868	-0.006849548	-0.259926357	0.141311868	0.088328165	-0.135810856	0.037786259	0.102526051	0.096936491	-0.083631217	-0.132424973	-0.057099082	-0.114487663	-0.061363146	0.014460854	0.138548026	0.097106818	0.123725354	-0.400834681	-0.296324032	0.146738273	-0.041152373	0.062973247	0.171497063	0.136969512	0.033146141	8.55E-05	-0.062188267	0.404646142	0.233527847	0.156972217	-0.032510906	0.170022456	0.101852563	0.072157216	-0.208603775	0.230163795	0.160323855	0.100633318	0.149281098	0.020718603	0.011657211	0.090542106	0.057002651	0.229522324	0.46670089	0.139599114	0.100078144	0.057452814	0.372160022	0.136332628	0.246567357	-0.109354271	0.160214329	0.037292332	0.066217557	-0.120811405	-0.215409718	0.085206023	-0.248572431	-0.304271673	0.060878852	-0.245200464	0.013915624	-0.107366734	-0.227849678	0.104246501	0.085636532	0.276813218	-0.158484644	-0.117622308	-0.325393407	0.21570987	0.148198144	-0.367443776	0.088248927	-0.16903667	-0.194835596	-0.028057295	-0.069651451	-0.230727061	0.082290986	0.186625079	0.117417136	-0.095875408	0.025338357	-0.131131082
FGFR1	-0.241267009	-0.138868532	-0.110829346	-0.216859656	0.206383652	-0.161583261	-0.344476929	-0.102978643	0.002421283	-0.181772597	-0.274631694	-0.263580046	-0.05055903	0.109558452	-0.174378534	-0.193630549	-0.130368172	-0.050666604	-0.062034217	0.088546204	-0.07661726	-0.244380187	-0.105734446	-0.103939834	-0.173192201	0.015755516	-0.022888112	-0.175645399	-0.009075103	-0.154165452	-0.232513109	0.21742947	-0.228648073	0.015781846	-0.096299485	-0.065142313	0.140620335	-0.013024549	-0.023468397	-0.136994013	0.384588814	0.059315628	0.086407796	-0.227938273	0.01478589	-0.048678912	-0.003186657	0.055576245	0.035017694	0.11719989	-0.157065719	-0.219286728	0.043458408	-0.185279862	-0.102144126	-0.104130739	0.078054488	-0.058461132	-0.169713222	-0.171041219	-0.013239202	0.11839119	-0.047021051	0.118130156	0.004053586	0.314195636	0.066660652	-0.025487938	-0.146144395	0.458361356	-0.028214627	0.194614456	-0.213339164	0.16282257	-0.243908416	0.197379816	-0.183547929	0.013566854	0.141874593	0.061271343	0.037755512	-0.02661945	-0.073057597	0.154500402	0.011351456	0.040854244	0.509167767	0.053280028	0.091014505	0.256850411	0.482813867	0.11805902	-0.096504322	-0.021021145	0.265223988	0.038918981	0.178557103	-0.0390349	0.005948394	0.269470114	0.171582795	-0.279087984	-0.178149874	0.111823746	0.143040779	-0.06635515	0.457608584	0.15888767	0.390326979	0.119560078	0.177043242	-0.03225483	-0.046131858	0.195119938	0.155746384	-0.440067108	-0.042941433	-0.203493406	-0.178971147	0.159378545	0.121193841	-0.306585745	0.492761331	-0.017631395	0.216062929	0.193701196	-0.102971297	-0.137658376
FGFR2	-0.209164261	-0.079494968	-0.031885477	-0.009893145	0.038509257	0.078786427	-0.32179627	-0.042914174	-0.146097682	-0.086747964	-0.215895101	-0.216433587	-0.089763529	-0.082209609	-0.018560226	-0.173602746	-0.149425211	0.08930423	-0.187976542	0.151535308	0.092086798	0.014964198	-0.097154928	-0.148699141	-0.097934794	0.045657108	-0.038705138	-0.098753659	-0.064485306	-0.048931432	0.033747918	0.286025151	-0.075847895	0.007129453	-0.125028019	0.0386466	0.25282272	0.115536044	0.098152654	-0.068272487	-0.228722822	0.164660865	0.078269502	-0.260318193	-0.034110042	-0.036096616	0.146703847	-0.065015566	-0.022992808	-0.110691573	0.066315772	-0.187949723	-0.142569692	-0.167055363	0.017164766	-0.153359853	-5.50E-05	0.023828901	0.031012837	-0.280534922	-0.526225317	0.01313204	0.036632682	-0.156873553	0.076562673	0.031467933	0.008574667	-0.126295482	0.074282289	0.117838759	-0.197935721	-0.022027865	0.200397089	0.002634314	0.049380969	0.284840096	-0.103609583	-0.127327543	-0.014219957	0.1288074	-0.009846203	0.105809315	-0.06521955	0.070238673	0.013237858	-0.070488456	0.090380478	-0.332709332	0.057728508	0.168562729	0.186882273	0.090528702	0.308162018	0.160325491	0.250547989	-0.15890225	-0.057902328	-0.063566183	-0.106189914	0.053703901	0.052016721	-0.230870794	0.276096656	0.065380524	-0.292505722	-0.026869865	0.207961459	-0.086584579	0.242500858	-0.228987877	0.160639103	-0.361543622	0.124969963	-0.040630785	-0.030289995	-0.150570072	0.02011389	-0.266096914	-0.279509316	0.249367758	-0.070290563	-0.215484104	0.172191415	0.181561281	0.095674564	0.068740824	-0.074884322	0.029815457
FGFR3	-0.156492966	-0.053382982	0.008369858	0.005932683	0.071833638	-0.045769429	-0.267832369	0.010659516	-0.191510952	0.056968034	0.112130796	0.00095265	-0.017935886	-0.06185123	0.025003062	-0.075350463	-0.154049424	-0.064902043	-0.195055097	0.095099403	0.069367144	0.004940404	-0.045857724	-0.050733237	-0.106294171	-0.160449434	-0.145760323	-0.18987838	-0.187306604	0.014927846	0.129934918	0.040979389	-0.147178391	0.089497773	-0.002634561	0.009291135	0.060940044	0.027909222	-0.010899321	-0.391742175	-0.059436956	0.084857378	-0.10029526	-0.112016207	-0.007223446	-0.13839789	0.272847533	0.048586003	-0.006977617	0.145837375	-0.133864723	0.059399336	-0.021014001	-0.211585568	-0.165207141	-0.043878	0.0048125	0.125500672	-0.035139021	-0.102886017	-0.340296586	-0.082201608	-0.205835847	0.043967317	-0.15367998	-0.192349845	0.116602427	0.06565239	-0.166849419	-0.144440912	0.250358319	0.083904101	0.01610708	-0.186114167	-0.054083063	0.027157339	-0.221835577	-0.241680167	-0.205089354	0.053709763	-0.122400209	-0.051389209	-0.003261892	-0.084665995	0.032730212	-0.004865181	-0.143882337	-0.118034344	0.122749906	-0.061860159	-0.239091131	0.150876943	0.361783127	-0.012793637	-0.039054861	-0.158719975	0.284683462	-0.144307611	-0.060587134	-0.24319178	0.18158238	0.060512253	0.273844839	0.295829222	-0.083884477	-0.101649595	-0.120962174	-0.057781977	0.312626181	-0.053846374	0.399018606	-0.274265775	0.115343619	0.264386259	0.270451071	-0.117939757	-0.065286762	-0.007697263	0.123651597	0.278880019	0.013986364	0.243352698	-0.021259597	0.281233884	0.004072044	0.124796608	0.174297565	0.226729191
FGFR4	-0.341381507	-0.03172635	0.12910136	-0.112181425	-0.038698334	-0.12826224	-0.052880741	0.029875354	0.00885966	-0.047620269	0.258374622	0.084993096	0.014801583	-0.087135976	0.002228829	0.066734651	0.073609009	-0.072250045	-0.128050488	-0.001374792	0.072166195	-0.036473292	0.021558021	0.062030968	-0.102713159	-0.088818325	-0.071661366	0.04811361	-0.053799176	-0.069341225	-0.097564884	-0.048039245	0.045757764	0.136830932	0.018456239	0.124251944	0.154265265	-0.094087405	0.110073104	0.440396787	-0.270306838	-0.122566196	0.095833486	0.126466448	-0.007809107	-0.069073213	0.247280073	-0.009651935	-0.057036354	-0.020426259	0.031475205	0.03914789	-0.12226134	-0.072869363	-0.009000568	0.118598294	0.005549079	0.156054043	-0.322348984	-0.077922353	-0.11352693	-0.087236811	-0.296613225	0.00641668	-0.121637822	-0.057187742	-0.072154839	-0.054546992	-0.031953118	-0.091512401	0.204766205	-0.179462514	0.033619485	-0.013781978	-0.268999257	-0.060004611	-0.074162039	-0.017981904	-0.18112958	-0.055274732	-0.08482498	0.132076994	-0.152808164	-0.024325575	0.03221174	-0.040004573	-0.150908862	-0.001441722	-0.06907689	-0.097657661	0.437530285	-0.075314805	0.07134304	0.038917939	0.02291517	-0.120115822	0.288258726	0.076053759	0.107982397	0.218487675	0.301849977	0.176320568	0.078987996	-0.222317575	0.055046387	0.264293277	0.286735152	0.026998429	0.187209792	0.048241162	0.445796103	-0.178372095	0.101212924	0.185775681	0.263405016	-0.044985865	-0.046039504	-0.09721551	0.27156269	0.103542203	0.221605459	0.248268784	0.550454379	0.170267007	0.013550324	0.20293525	-0.067874415	0.324954693
PDGFRA	0.00456909	-0.104579497	-0.115577893	-0.210329761	0.094932094	-0.247847237	-0.132027152	-0.128341571	-0.029741017	-0.101089464	-0.063668885	-0.129020086	0.138986542	-0.062965565	-0.118847494	-0.180206755	-0.092364432	-0.163835377	-0.117775215	0.134713824	0.132098984	-0.259949789	-0.118016844	-0.112345078	-0.210574507	-0.088232969	-0.060153002	-0.087749815	-0.048041437	-0.008717331	-0.007913531	0.145534324	-0.170914541	0.072977588	-0.193929953	-0.002138968	0.226057068	0.001265807	-0.452982327	0.203551021	-0.152674956	0.120870311	0.235011657	-0.012241756	0.054051131	-0.074572899	-0.031108431	-0.033899815	0.041970774	-0.163944771	-0.143727377	-0.111965806	0.148771673	-0.072381243	-0.052678315	-0.014048337	-0.010641841	-0.138283878	0.190317613	0.239918229	-0.329301397	0.045190282	-0.018840593	0.011432861	0.159815062	0.277609893	0.067199844	0.078438128	-0.250050698	0.375917793	0.080380107	0.027772028	-0.037572479	0.172680957	-0.079816332	0.156208067	0.009211107	-0.098586731	0.060912359	0.142936897	0.151086463	0.151835681	0.13473366	0.107189143	0.072252225	0.138331039	0.390649248	0.176445327	0.188838628	0.169228107	0.604715998	-0.156198663	0.19674912	0.060881697	0.366373684	0.086381653	0.043935743	-0.227680107	-0.118389755	0.00536984	-0.03310413	-0.321815629	-0.193994496	-0.224967427	0.081868638	-0.209984768	0.040869373	0.117103045	-0.071962291	-0.020045148	0.066071719	-0.112924307	-0.207752456	0.097207285	0.144312019	-0.371623282	-0.331428157	-0.273649424	-0.147443302	0.160000743	0.039927162	-0.313422696	0.016619174	-0.257780505	0.070578465	0.038755598	-0.146839706	-0.302098247
PDGFRB	-0.109633769	-0.203364283	-0.217141589	-0.274432426	-0.135549204	-0.173883782	-0.077830742	-0.2794887	-0.098435124	-0.252445655	-0.149726233	-0.154976517	0.197636984	0.018293543	-0.117800747	-0.19513637	-0.206436535	-0.087453232	-0.105631573	-0.078765827	-0.278070169	-0.23580786	-0.2217238	-0.043100916	-0.297610074	-0.005308125	-0.184789465	-0.130192785	-0.089559928	0.028511344	-0.121412565	0.283455745	-0.160628464	-0.03903781	-0.063529432	-0.012615395	0.129157077	0.002242582	-0.367485509	-0.103823317	0.232812729	0.033850477	0.056189206	-0.182553558	0.101870315	0.060058238	0.005835313	0.027688487	0.098357668	0.210980069	-0.03037721	-0.047738682	0.106861614	-0.021595468	-0.078369179	0.000497006	0.043124597	-0.095492894	0.209872316	-0.123168412	-0.429578114	0.059460162	0.032328504	0.165916876	0.102872139	0.341608822	0.188104416	0.135632963	-0.08624117	0.440624258	0.175369036	0.280932347	-0.021036702	0.248964881	0.059682757	0.107459902	-0.085239158	0.025828107	0.017126434	0.1321563	0.142681296	0.12876448	0.061785419	0.196536012	0.099139431	0.277033442	0.597748705	0.229021696	0.204606052	0.292494181	0.528652459	0.043892435	0.445535781	-0.016537626	0.441036046	-0.09117294	0.3009282	0.002875097	-0.155903909	0.104112788	0.080640896	-0.213023289	-0.109209653	0.030282205	0.116946872	-0.025412577	0.094206525	0.206744338	0.015452209	0.105861749	0.149489124	-0.059288716	-0.137367175	0.268895636	0.199286981	-0.15075327	0.094972247	-0.181498537	-0.100402943	-0.234655228	0.056039076	-0.274415719	-0.029366314	0.018327346	-0.08616154	-0.049025276	-0.297840877	-0.137567754
QKIT	-0.151555636	-0.152737727	0.078712613	-0.115202309	0.059765477	-0.046104584	-0.163696126	0.042607974	-0.087245647	0.010018717	-0.158975893	-0.290800107	-0.037618968	-0.059403237	-0.130525328	-0.011697374	0.008976254	0.029170346	-0.144572131	0.240040149	-0.138912703	-0.200722025	0.040842651	0.116594421	-0.082966771	-0.005024555	-0.147198229	-0.031508813	-0.156627302	-0.148882353	-0.240999501	0.179028765	-0.134018924	0.055559279	-0.170462557	0.090541859	-0.128729561	0.134282559	-0.222180657	0.015181609	-0.202614496	0.267861353	0.079215334	-0.273115594	-0.038237815	-0.261040814	-0.085545729	-0.000348829	0.063522969	0.127271494	-0.128448843	-0.056305778	0.077732789	-0.171250407	0.046287611	-0.012480563	0.045057708	-0.00636199	0.189238147	-0.259372445	-0.425132768	0.038593205	0.073291967	0.045450818	0.024723671	0.003689384	-0.143248315	-0.089376073	-0.147443748	0.212299953	0.014039643	0.194813636	0.03505779	0.118178189	0.006053864	0.142860265	-0.165892426	-0.296289848	0.078989218	-0.078794855	0.114276272	-0.065072744	-0.019539895	0.006217947	0.016457043	0.019938699	0.210707038	-0.001772218	0.024713009	0.108443543	-0.486009191	-0.078536966	0.469526788	-0.109155375	0.013191093	-0.090418836	0.102062633	-0.156115341	0.028897282	0.030315873	-0.278568456	-0.322229305	0.240556409	-0.265163171	-0.103319436	-0.334604606	0.042362392	-0.112785044	0.014846292	0.068115161	0.193317195	-0.12553718	-0.336292906	-0.116471483	0.266364869	-0.466523253	-0.057553516	-0.399606493	-0.204438308	-0.275298289	-0.089486093	-0.39724674	-0.394951939	0.097450724	-0.04103538	0.059144183	-0.064034105	-0.080426088
